;Date;zone;Energy Demand;Maximum Demand;ENS;Timestamp;longitud;latitud;ENS_;('Regression',);('Classification',)
94;2008/04/04;Antioquia;28811674.1;8264000;0;1207267200;-75.52001953;6.817352823;0;0;0
95;2008/04/05;Antioquia;27106368.83;7821000;0;1207353600;-75.52001953;6.817352823;0;0;0
96;2008/04/06;Antioquia;23408271.37;7317000;0;1207440000;-75.52001953;6.817352823;0;0;0
97;2008/04/07;Antioquia;28596767.87;8468000;0;1207526400;-75.52001953;6.817352823;0;0;0
98;2008/04/08;Antioquia;29141792.42;8514000;0;1207612800;-75.52001953;6.817352823;0;0;0
99;2008/04/09;Antioquia;29031724.23;8508000;0;1207699200;-75.52001953;6.817352823;0;0;0
100;2008/04/10;Antioquia;29111552.32;8459000;0;1207785600;-75.52001953;6.817352823;0;0.52;0
101;2008/04/11;Antioquia;28823790;8413000;0;1207872000;-75.52001953;6.817352823;0;0;0
102;2008/04/12;Antioquia;27027152.22;7813000;0;1207958400;-75.52001953;6.817352823;0;0;0
103;2008/04/13;Antioquia;23159121.95;7292000;0;1208044800;-75.52001953;6.817352823;0;0;0
104;2008/04/14;Antioquia;28481214.02;8385000;0;1208131200;-75.52001953;6.817352823;0;0.408;0.1
105;2008/04/15;Antioquia;28732509.71;8464000;0;1208217600;-75.52001953;6.817352823;0;0;0
106;2008/04/16;Antioquia;28967871.97;8536000;0;1208304000;-75.52001953;6.817352823;0;1.242;0.3
107;2008/04/17;Antioquia;29426502.93;8572000;0;1208390400;-75.52001953;6.817352823;0;0;0.2
108;2008/04/18;Antioquia;29508118.79;8434000;0;1208476800;-75.52001953;6.817352823;0;0.68;0.1
109;2008/04/19;Antioquia;27491563.36;8032000;0;1208563200;-75.52001953;6.817352823;0;0;0
110;2008/04/20;Antioquia;23576088.77;7441000;0;1208649600;-75.52001953;6.817352823;0;0;0
111;2008/04/21;Antioquia;28682610.52;8536000;0;1208736000;-75.52001953;6.817352823;0;0.72;0
112;2008/04/22;Antioquia;29393983.65;8557000;0;1208822400;-75.52001953;6.817352823;0;0;0
113;2008/04/23;Antioquia;29224549.27;8638000;0;1208908800;-75.52001953;6.817352823;0;0;0
114;2008/04/24;Antioquia;28920231.63;8423000;0;1208995200;-75.52001953;6.817352823;0;0;0
115;2008/04/25;Antioquia;28623114.34;8297000;0;1209081600;-75.52001953;6.817352823;0;0.128;0.2
116;2008/04/26;Antioquia;27016987.23;7897000;0;1209168000;-75.52001953;6.817352823;0;0;0
117;2008/04/27;Antioquia;23205775.83;7306000;0;1209254400;-75.52001953;6.817352823;0;0;0
118;2008/04/28;Antioquia;28352352.35;8475000;0;1209340800;-75.52001953;6.817352823;0;0;0
119;2008/04/29;Antioquia;29032604.59;8522000;0;1209427200;-75.52001953;6.817352823;0;0;0
120;2008/04/30;Antioquia;28766457.99;8232000;0;1209513600;-75.52001953;6.817352823;0;0;0
121;2008/05/01;Antioquia;24324295.19;7427000;0;1209600000;-75.52001953;6.817352823;0;0.63;0
122;2008/05/02;Antioquia;27227588.66;8077000;0;1209686400;-75.52001953;6.817352823;0;0;0
123;2008/05/03;Antioquia;26023972.09;7616000;0;1209772800;-75.52001953;6.817352823;0;0;0.2
124;2008/05/04;Antioquia;22337682.3;6922000;0;1209859200;-75.52001953;6.817352823;0;0;0
125;2008/05/05;Antioquia;22724739.52;7449000;0;1209945600;-75.52001953;6.817352823;0;0;0
126;2008/05/06;Antioquia;28382993.75;8344000;0;1210032000;-75.52001953;6.817352823;0;0;0
127;2008/05/07;Antioquia;29039546.73;8443000;0;1210118400;-75.52001953;6.817352823;0;0;0
128;2008/05/08;Antioquia;29433203.39;8491000;0;1210204800;-75.52001953;6.817352823;0;0;0
129;2008/05/09;Antioquia;28991035.65;8312000;0;1210291200;-75.52001953;6.817352823;0;3.597;0.2
130;2008/05/10;Antioquia;27025979.09;7825000;0;1210377600;-75.52001953;6.817352823;0;0;0
131;2008/05/11;Antioquia;22250308.78;6970000;0;1210464000;-75.52001953;6.817352823;0;0;0
132;2008/05/12;Antioquia;28162016.04;8498000;0;1210550400;-75.52001953;6.817352823;0;0;0
133;2008/05/13;Antioquia;29342629.53;8548000;0;1210636800;-75.52001953;6.817352823;0;0;0.1
134;2008/05/14;Antioquia;29185954.09;8602000;0;1210723200;-75.52001953;6.817352823;0;0;0
135;2008/05/15;Antioquia;29379362.85;8416000;0;1210809600;-75.52001953;6.817352823;0;1.424;0.1
136;2008/05/16;Antioquia;29108500.39;8707000;0;1210896000;-75.52001953;6.817352823;0;2.393;0
137;2008/05/17;Antioquia;27226061.62;7786000;0;1210982400;-75.52001953;6.817352823;0;0;0
138;2008/05/18;Antioquia;23283508.26;7322000;0;1211068800;-75.52001953;6.817352823;0;0.271;0
139;2008/05/19;Antioquia;28338639.78;8440000;0;1211155200;-75.52001953;6.817352823;0;0;0
140;2008/05/20;Antioquia;28135038.36;8440000;0;1211241600;-75.52001953;6.817352823;0;0;0
141;2008/05/21;Antioquia;28259382.53;8405000;2.36;1211328000;-75.52001953;6.817352823;1;1.416;0.7
142;2008/05/22;Antioquia;28347963.16;8503000;0;1211414400;-75.52001953;6.817352823;0;0;0
143;2008/05/23;Antioquia;28289510.28;8262000;0;1211500800;-75.52001953;6.817352823;0;0;0
144;2008/05/24;Antioquia;26775578.39;7872000;0;1211587200;-75.52001953;6.817352823;0;0;0
145;2008/05/25;Antioquia;22483686.34;7068000;0;1211673600;-75.52001953;6.817352823;0;0;0
146;2008/05/26;Antioquia;22882612.78;7454000;0;1211760000;-75.52001953;6.817352823;0;0;0
147;2008/05/27;Antioquia;27751994.16;8329000;0;1211846400;-75.52001953;6.817352823;0;0;0.2
148;2008/05/28;Antioquia;28381061.88;8332000;0;1211932800;-75.52001953;6.817352823;0;0;0
149;2008/05/29;Antioquia;28396249.7;8391000;0;1212019200;-75.52001953;6.817352823;0;0;0.1
150;2008/05/30;Antioquia;28485509.03;8394000;0;1212105600;-75.52001953;6.817352823;0;0.473;0
151;2008/05/31;Antioquia;26640254;7863000;0;1212192000;-75.52001953;6.817352823;0;0;0
152;2008/06/01;Antioquia;22715349.08;7038000;0;1212278400;-75.52001953;6.817352823;0;0.528;0
153;2008/06/02;Antioquia;22748521.09;7303000;0;1212364800;-75.52001953;6.817352823;0;0;0
154;2008/06/03;Antioquia;27972090.34;8363000;1;1212451200;-75.52001953;6.817352823;1;0.9;0.9
155;2008/06/04;Antioquia;28497694.99;8474000;0;1212537600;-75.52001953;6.817352823;0;0;0
156;2008/06/05;Antioquia;28695878.88;8475000;0;1212624000;-75.52001953;6.817352823;0;0;0
157;2008/06/06;Antioquia;28713274.97;8332000;0;1212710400;-75.52001953;6.817352823;0;0;0
158;2008/06/07;Antioquia;27018402.26;7909000;0;1212796800;-75.52001953;6.817352823;0;0;0
159;2008/06/08;Antioquia;23013485.71;7331000;0;1212883200;-75.52001953;6.817352823;0;0;0.1
160;2008/06/09;Antioquia;28296268.7;8435000;0;1212969600;-75.52001953;6.817352823;0;0;0.1
161;2008/06/10;Antioquia;28612228.99;8385000;2.04;1213056000;-75.52001953;6.817352823;1;1.836;0.6
162;2008/06/11;Antioquia;28589069.51;8452000;0;1213142400;-75.52001953;6.817352823;0;0;0.1
163;2008/06/12;Antioquia;28948649.55;8404000;0;1213228800;-75.52001953;6.817352823;0;0.153;0
164;2008/06/13;Antioquia;29038278.43;8403000;0;1213315200;-75.52001953;6.817352823;0;0;0.1
165;2008/06/14;Antioquia;27108219.58;7880000;0;1213401600;-75.52001953;6.817352823;0;0;0
166;2008/06/15;Antioquia;22447244.93;7045000;0;1213488000;-75.52001953;6.817352823;0;0;0
167;2008/06/16;Antioquia;28113710.66;8530000;0;1213574400;-75.52001953;6.817352823;0;0;0.2
168;2008/06/17;Antioquia;28527311.91;8541000;0;1213660800;-75.52001953;6.817352823;0;2.7;0.1
169;2008/06/18;Antioquia;28504558.07;8434000;0;1213747200;-75.52001953;6.817352823;0;0;0
170;2008/06/19;Antioquia;28525643.27;8493000;0;1213833600;-75.52001953;6.817352823;0;2.7;0
171;2008/06/20;Antioquia;28638411.28;8428000;0;1213920000;-75.52001953;6.817352823;0;0;0
172;2008/06/21;Antioquia;26845221.98;7811000;0;1214006400;-75.52001953;6.817352823;0;0;0
173;2008/06/22;Antioquia;22998202.81;7135000;0;1214092800;-75.52001953;6.817352823;0;0;0.1
174;2008/06/23;Antioquia;27917972.25;8292000;0;1214179200;-75.52001953;6.817352823;0;0;0
175;2008/06/24;Antioquia;28596758.21;8253000;0;1214265600;-75.52001953;6.817352823;0;0;0
176;2008/06/25;Antioquia;28282502.88;8213000;0;1214352000;-75.52001953;6.817352823;0;0;0
177;2008/06/26;Antioquia;28183390.34;8213000;0;1214438400;-75.52001953;6.817352823;0;1.93;0
178;2008/06/27;Antioquia;28034147.02;8188000;1.8;1214524800;-75.52001953;6.817352823;1;1.549;0.8
179;2008/06/28;Antioquia;26406446.53;7613000;0;1214611200;-75.52001953;6.817352823;0;0;0
180;2008/06/29;Antioquia;22310164.07;6844000;0;1214697600;-75.52001953;6.817352823;0;0;0
181;2008/06/30;Antioquia;22443002.24;7293000;0;1214784000;-75.52001953;6.817352823;0;0;0
182;2008/07/01;Antioquia;28003141.07;8160000;0;1214870400;-75.52001953;6.817352823;0;0.18;0.1
183;2008/07/02;Antioquia;28311867.11;8062000;0;1214956800;-75.52001953;6.817352823;0;0.328;0
184;2008/07/03;Antioquia;28446479.31;8148000;0;1215043200;-75.52001953;6.817352823;0;0;0
185;2008/07/04;Antioquia;28352764.18;8429000;0;1215129600;-75.52001953;6.817352823;0;0;0.3
186;2008/07/05;Antioquia;26658030.68;7822000;0;1215216000;-75.52001953;6.817352823;0;0;0
187;2008/07/06;Antioquia;22655405.17;7163000;0;1215302400;-75.52001953;6.817352823;0;0.52;0.4
188;2008/07/07;Antioquia;27888643.9;8409000;0;1215388800;-75.52001953;6.817352823;0;0;0
189;2008/07/08;Antioquia;28332202.65;8303000;0;1215475200;-75.52001953;6.817352823;0;0;0
190;2008/07/09;Antioquia;28035512.34;8248000;0;1215561600;-75.52001953;6.817352823;0;0.905;0.3
191;2008/07/10;Antioquia;28323473.05;8225000;0;1215648000;-75.52001953;6.817352823;0;0;0
